run_id,series_id,family,track,seed,trajectory,checkpoint,vus_pr,auprc,vus_roc,auroc,score_sha256,data_sha256,config_sha256,vendor_sha
144_SMAP_id_1_Sensor_tr_2052_1st_5300__seed_2027__RAND_BN__BN_CALIBRATED,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,M,2027,RAND_BN,BN_CALIBRATED,0.9025037300794302,0.8872101025021257,0.9663385586483425,0.9644533712039598,39a500b8ab800294eb496cc87b989e491712b3fe470e9f0dbc8e2766db9bde4b,a7f18a2e1a01899f56c32dfff6139248fbc3d32b15b6c21e1766a8fe79d84aaf,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
171_SWaT_id_1_Sensor_tr_3749_1st_9522__seed_2027__OFFICIAL__BEST,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,M,2027,OFFICIAL,BEST,0.3138044671230591,0.27305240299315503,0.7150834156961793,0.6727199543615454,fedc74f34f8f39a37cb4ce98c4ca60a285078297d0d8b57ead2775bc562dbeac,91f3a03ba1ffcd9e4584a1f98c8ec0948f6d12ff80131d28111befb1c50a8c2b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
171_SWaT_id_1_Sensor_tr_3749_1st_9522__seed_2027__OFFICIAL__LAST,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,M,2027,OFFICIAL,LAST,0.3443739501385077,0.2864663132198232,0.7834086495197169,0.7355622137437079,09af114594831861962996cf36f644699f2f6f4adaa42c60f18cd03ec8fea373,91f3a03ba1ffcd9e4584a1f98c8ec0948f6d12ff80131d28111befb1c50a8c2b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
171_SWaT_id_1_Sensor_tr_3749_1st_9522__seed_2027__PAPERNEG_NONOVERLAP__BEST,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,M,2027,PAPERNEG_NONOVERLAP,BEST,0.2954205915927353,0.25749999248749494,0.715131525418338,0.6741447821143084,5f8f76e767a56ca0d6aef93506155b92bdea4a10115a99c6fbae1a58c9a0df23,91f3a03ba1ffcd9e4584a1f98c8ec0948f6d12ff80131d28111befb1c50a8c2b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
171_SWaT_id_1_Sensor_tr_3749_1st_9522__seed_2027__PAPERNEG_NONOVERLAP__LAST,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,M,2027,PAPERNEG_NONOVERLAP,LAST,0.34601004563234566,0.286301936586025,0.7921818883325513,0.7446015846513603,1d93f05fa2917796d950e11eb70a7c1288d2c95c1d16753499bc1f5c2a7fa55c,91f3a03ba1ffcd9e4584a1f98c8ec0948f6d12ff80131d28111befb1c50a8c2b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
171_SWaT_id_1_Sensor_tr_3749_1st_9522__seed_2027__PAPERNEG__BEST,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,M,2027,PAPERNEG,BEST,0.31128265813532113,0.2711746761248902,0.713960581562212,0.6717938714738759,817d141c51db3a12816df38eb1cc2526992565d3978820eff8471cd68aa702a6,91f3a03ba1ffcd9e4584a1f98c8ec0948f6d12ff80131d28111befb1c50a8c2b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
171_SWaT_id_1_Sensor_tr_3749_1st_9522__seed_2027__PAPERNEG__LAST,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,M,2027,PAPERNEG,LAST,0.34573851777604575,0.28646521658298035,0.7833978107381748,0.7349049611693848,64975bde34248bd341b820b89d9fba9b13e2e634ad12c0973974d19477be5fef,91f3a03ba1ffcd9e4584a1f98c8ec0948f6d12ff80131d28111befb1c50a8c2b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
171_SWaT_id_1_Sensor_tr_3749_1st_9522__seed_2027__RAND_BN__BN_CALIBRATED,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,M,2027,RAND_BN,BN_CALIBRATED,0.3636981203756213,0.30309013236833593,0.7915350261992157,0.7446118602701618,e30fc7de032bde8c55ba06056fa9abda8e97da41e0c5714eee0ef2c0f9bc2fed,91f3a03ba1ffcd9e4584a1f98c8ec0948f6d12ff80131d28111befb1c50a8c2b,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
174_Exathlon_id_1_Facility_tr_10766_1st_12590__seed_2027__OFFICIAL__BEST,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,M,2027,OFFICIAL,BEST,0.9326110939511818,0.9150291702752658,0.9957381857851286,0.9952496365723662,38e2eecb5188f07bfdfbde841eef9abcbf640363ab7481eb7723ebae9aa14797,a96d9acf420e3412df67b8fbfb81a6182b146389051da596519feb2fb8146cd6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
174_Exathlon_id_1_Facility_tr_10766_1st_12590__seed_2027__OFFICIAL__LAST,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,M,2027,OFFICIAL,LAST,0.9142756693196494,0.8956148125667166,0.9949772811760355,0.994466786079808,f7454aa76ab767e9f50ab3232f40a42c73aead95da061b6108d05b3d374c6c3c,a96d9acf420e3412df67b8fbfb81a6182b146389051da596519feb2fb8146cd6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
174_Exathlon_id_1_Facility_tr_10766_1st_12590__seed_2027__PAPERNEG_NONOVERLAP__BEST,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,M,2027,PAPERNEG_NONOVERLAP,BEST,0.9222999973732132,0.9044446907248217,0.9953486961684774,0.9948408777832214,b1477bcddcf05e7ba1d468f4bfd6a2adeeab05dcce6b71a4eca37a68ccd5ddd0,a96d9acf420e3412df67b8fbfb81a6182b146389051da596519feb2fb8146cd6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
174_Exathlon_id_1_Facility_tr_10766_1st_12590__seed_2027__PAPERNEG_NONOVERLAP__LAST,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,M,2027,PAPERNEG_NONOVERLAP,LAST,0.8978567470117802,0.8803754747986849,0.994267110865203,0.9937498311552847,e7f175db7a4d6cb57429b6e3b220a8c4aac0895c9cccaa43e4ba74629a4fc9b8,a96d9acf420e3412df67b8fbfb81a6182b146389051da596519feb2fb8146cd6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
174_Exathlon_id_1_Facility_tr_10766_1st_12590__seed_2027__PAPERNEG__BEST,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,M,2027,PAPERNEG,BEST,0.9286933492821753,0.9107733207783211,0.9956138770400865,0.9951277775502484,f5a3f1c2460c63968387bdbf9635c3b1aaf174926e7bbe3a6abc9b13f8e35b10,a96d9acf420e3412df67b8fbfb81a6182b146389051da596519feb2fb8146cd6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
174_Exathlon_id_1_Facility_tr_10766_1st_12590__seed_2027__PAPERNEG__LAST,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,M,2027,PAPERNEG,LAST,0.9065360589379635,0.8885691202518787,0.9946742042730974,0.994158299117274,f82175bc23cfa2c91903b274f6b8187b943c10885f0bf75de4d0233960775e9d,a96d9acf420e3412df67b8fbfb81a6182b146389051da596519feb2fb8146cd6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
174_Exathlon_id_1_Facility_tr_10766_1st_12590__seed_2027__RAND_BN__BN_CALIBRATED,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,M,2027,RAND_BN,BN_CALIBRATED,0.9281680886932695,0.9096676148988521,0.9958939447948282,0.9953901989576921,3890045283e630c9e9d733f23147aa17650d81b96d9de1170e10976c9921e4db,a96d9acf420e3412df67b8fbfb81a6182b146389051da596519feb2fb8146cd6,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
260_IOPS_id_1_WebService_tr_5000_1st_11804__seed_2027__OFFICIAL__BEST,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,U,2027,OFFICIAL,BEST,0.2651121474222908,0.995238095238095,0.9985107045743055,0.9999964260696774,3591039040777668a3582f32a614b0b9745ecbd27c16962fead2511f1826361b,321a3960e72a04ef5565b81a5f6e106d188df1331d8413f7142c526cf3406138,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
260_IOPS_id_1_WebService_tr_5000_1st_11804__seed_2027__OFFICIAL__LAST,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,U,2027,OFFICIAL,LAST,0.2651121474222908,0.9745225013082155,0.9985107045743055,0.9999821303483868,c494589f39015506ff80df46e7f54c3c670f5ae0b35b678a4444fb72f690fd7f,321a3960e72a04ef5565b81a5f6e106d188df1331d8413f7142c526cf3406138,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
260_IOPS_id_1_WebService_tr_5000_1st_11804__seed_2027__PAPERNEG_NONOVERLAP__BEST,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,U,2027,PAPERNEG_NONOVERLAP,BEST,0.2651121474222908,0.9952380952380951,0.9985107045743055,0.9999964260696773,7fe5d55d9d74114aa25e62c8ac0b1f53f4f83084fddedf5b025c66bbb9a08567,321a3960e72a04ef5565b81a5f6e106d188df1331d8413f7142c526cf3406138,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
260_IOPS_id_1_WebService_tr_5000_1st_11804__seed_2027__PAPERNEG_NONOVERLAP__LAST,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,U,2027,PAPERNEG_NONOVERLAP,LAST,0.2651121474222908,0.9952380952380953,0.9985107045743055,0.9999964260696774,122ca4fcf32d0f5d7117dbd889d68152a74ed25011241af5db5c2dc2561f9193,321a3960e72a04ef5565b81a5f6e106d188df1331d8413f7142c526cf3406138,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
260_IOPS_id_1_WebService_tr_5000_1st_11804__seed_2027__PAPERNEG__BEST,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,U,2027,PAPERNEG,BEST,0.2651121474222908,0.995238095238095,0.9985107045743055,0.9999964260696773,c74470b4bc8bd4c5323b840dc6c31179cd0904d6c3bc9adce50ecb2cfc3b391a,321a3960e72a04ef5565b81a5f6e106d188df1331d8413f7142c526cf3406138,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
260_IOPS_id_1_WebService_tr_5000_1st_11804__seed_2027__PAPERNEG__LAST,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,U,2027,PAPERNEG,LAST,0.2651121474222908,0.9952380952380953,0.9985107045743055,0.9999964260696773,a9c5ad76fed3b34a107997119608efe86c8a8e61f073e43b909b31e141f71c47,321a3960e72a04ef5565b81a5f6e106d188df1331d8413f7142c526cf3406138,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
260_IOPS_id_1_WebService_tr_5000_1st_11804__seed_2027__RAND_BN__BN_CALIBRATED,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,U,2027,RAND_BN,BN_CALIBRATED,0.2651121474222908,1.0,0.9985107045743055,1.0,7d2c1756e40ba195ed4a8cccd71e238988391dda26e7cf51db7c37401759f174,321a3960e72a04ef5565b81a5f6e106d188df1331d8413f7142c526cf3406138,8414885694d7a346ca9b70251213b017791ade6611d04fb9e7f39ef6d238e824,d4c67116190efa4592dc6a8a157ced0def68b6af
