aggregation,family,subgroup,arm,metric,value,n_valid,n_total
family3,NASA,ALL,IHP1_NCTP0,vus_pr,0.4820201702118565,2,2
family3,NASA,ALL,IHP1_NCTP0,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,IHP1_NCTP0,anomaly_free_fp_count,,0,2
family3,NASA,ALL,IHP1_NCTP0,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,IHP1_NCTP0,anomaly_free_score_p95,,0,2
family3,NASA,ALL,IHP0_NCTP1,f1_max,0.7448387516631216,2,2
family3,NASA,ALL,IHP0_NCTP1,auprc,0.5384594297712042,2,2
family3,NASA,ALL,IHP0_NCTP1,vus_pr,0.49569923541652117,2,2
family3,NASA,ALL,IHP0_NCTP1,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,IHP0_NCTP1,anomaly_free_fp_count,,0,2
family3,NASA,ALL,IHP0_NCTP1,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,IHP0_NCTP1,anomaly_free_score_p95,,0,2
family3,NASA,ALL,IHP1_NCTP1,f1_max,0.7206143142954192,2,2
family3,NASA,ALL,IHP1_NCTP1,auprc,0.5587356589195436,2,2
family3,NASA,ALL,IHP1_NCTP1,vus_pr,0.49694275306301194,2,2
family3,NASA,ALL,IHP1_NCTP1,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,IHP1_NCTP1,anomaly_free_fp_count,,0,2
family3,NASA,ALL,IHP1_NCTP1,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,IHP1_NCTP1,anomaly_free_score_p95,,0,2
family3,NASA,ALL,CTRL_CLS_LEGACY,f1_max,0.6072460151076503,2,2
family3,NASA,ALL,CTRL_CLS_LEGACY,auprc,0.40271135662580426,2,2
family3,NASA,ALL,CTRL_CLS_LEGACY,vus_pr,0.506752810409788,2,2
family3,NASA,ALL,CTRL_CLS_LEGACY,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,CTRL_CLS_LEGACY,anomaly_free_fp_count,,0,2
family3,NASA,ALL,CTRL_CLS_LEGACY,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,CTRL_CLS_LEGACY,anomaly_free_score_p95,,0,2
family3,NASA,ALL,CTRL_CLS_NATIVE_W240,f1_max,0.6072460151076503,2,2
family3,NASA,ALL,CTRL_CLS_NATIVE_W240,auprc,0.40244990688069593,2,2
family3,NASA,ALL,CTRL_CLS_NATIVE_W240,vus_pr,0.5073193007090816,2,2
family3,NASA,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_fp_rate,,0,2
family3,NASA,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_fp_count,,0,2
family3,NASA,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_mean_excess,,0,2
family3,NASA,ALL,CTRL_CLS_NATIVE_W240,anomaly_free_score_p95,,0,2
family3,NASA,ALL,CTRL_PATCH_MEAN_NATIVE_W240,f1_max,0.6724035805796811,2,2
family3,NASA,ALL,CTRL_PATCH_MEAN_NATIVE_W240,auprc,0.48000767359825447,2,2
family3,NASA,ALL,CTRL_PATCH_MEAN_NATIVE_W240,vus_pr,0.5349231922256035,2,2
family3,NASA,ALL,CTRL_PATCH_MEAN_NATIVE_W240,anomaly_free_fp_rate,,0,2
