series_id,family,subgroup,contrast_id,candidate,control,formula,metric,paired_delta
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,-0.0115358191350007
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,f1_max,0.1666666666666666
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.1337912908884313
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,-0.0097086994010195
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,0.0022958809459064
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,vus_pr,-0.0017511279286214
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,f1_max,0.0666666666666667
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,auprc,0.0013806903293599
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,vus_pr,7.599180535977634e-05
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,0.0854700854700855
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,0.0031723093089428
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,-0.0252421377448441
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,0.0854700854700855
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.0212874620393728
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,-0.033910565619004
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,-0.0222222222222223
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.0366570035548258
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,-0.0548428953852402
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,f1_max,-0.1076923076923078
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.033484694245883
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,-0.029600757640396
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,-0.1076923076923078
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,0.015369541515453
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,vus_pr,-0.0209323297662361
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,f1_max,-0.1931623931623933
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,auprc,0.0121972322065102
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,vus_pr,0.004309807978608
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,-0.0401082407520241
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,-0.0043159660855962
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.0874314011856529
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,0.0362740778576418
realAWSCloudwatch__ec2_cpu_utilization_825cc2,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,0.0
