series_id,family,subgroup,n_points,n_positive,rel_vus_pr,full_vus_pr,delta_vus_pr,eligible,positive_pool,nonpositive_pool,positive_median_target,positive_distance,nonpositive_median_target,nonpositive_distance,delta_rank_ascending,delta_rank_descending,positive_selection_rank,nonpositive_selection_rank
YAHOOA1__real_12,Yahoo,Yahoo-A1,1439,3,0.7317392467891309,0.7229563692861373,-0.008782877502993669,True,False,True,0.029174905161014897,,-0.0154133437016728,0.00663046619867913,105,384,,31.0
YAHOOA1__real_13,Yahoo,Yahoo-A1,1439,12,0.9549796670991983,0.9202488957701992,-0.034730771328999155,True,False,True,0.029174905161014897,,-0.0154133437016728,0.019317427627326356,58,431,,103.0
YAHOOA1__real_14,Yahoo,Yahoo-A1,1439,2,0.7002148910662565,0.7516009121037421,0.051386021037485685,True,True,False,0.029174905161014897,0.02221111587647079,-0.0154133437016728,,374,115,130.0,
YAHOOA1__real_15,Yahoo,Yahoo-A1,1439,10,0.9554498052305518,0.9173972451807282,-0.0380525600498236,True,False,True,0.029174905161014897,,-0.0154133437016728,0.022639216348150804,51,438,,110.0
YAHOOA1__real_16,Yahoo,Yahoo-A1,1461,3,0.8502080684356654,0.926048488881032,0.07584042044536654,True,True,False,0.029174905161014897,0.046665515284351644,-0.0154133437016728,,408,81,248.0,
YAHOOA1__real_17,Yahoo,Yahoo-A1,1424,227,0.9705119690966716,0.9862883572667044,0.015776388170032796,True,True,False,0.029174905161014897,0.013398516990982101,-0.0154133437016728,,280,209,78.0,
YAHOOA1__real_18,Yahoo,Yahoo-A1,1461,3,0.753709548154108,0.6442957099818366,-0.10941383817227135,True,False,True,0.029174905161014897,,-0.0154133437016728,0.09400049447059855,18,470,,142.0
YAHOOA1__real_19,Yahoo,Yahoo-A1,1424,227,0.923657647239836,0.9894557121098876,0.06579806487005158,True,True,False,0.029174905161014897,0.03662315970903668,-0.0154133437016728,,395,94,235.0,
YAHOOA1__real_2,Yahoo,Yahoo-A1,1439,16,0.8134857883339656,0.9421138844779716,0.12862809614400605,True,True,False,0.029174905161014897,0.09945319098299116,-0.0154133437016728,,444,45,284.0,
YAHOOA1__real_20,Yahoo,Yahoo-A1,1422,33,0.3616532183305759,0.4388361870849646,0.07718296875438868,True,True,False,0.029174905161014897,0.048008063593373784,-0.0154133437016728,,412,77,252.0,
YAHOOA1__real_21,Yahoo,Yahoo-A1,1420,6,0.9257540241893616,0.931333139859355,0.005579115669993362,True,True,False,0.029174905161014897,0.023595789491021535,-0.0154133437016728,,235,254,142.0,
YAHOOA1__real_22,Yahoo,Yahoo-A1,1420,63,0.1065205009871139,0.9974153947025658,0.8908948937154519,True,True,False,0.029174905161014897,0.8617199885544371,-0.0154133437016728,,488,1,328.0,
YAHOOA1__real_23,Yahoo,Yahoo-A1,1420,19,0.8730314131791527,0.8772505685856103,0.004219155406457675,True,True,False,0.029174905161014897,0.02495574975455722,-0.0154133437016728,,222,267,156.0,
YAHOOA1__real_24,Yahoo,Yahoo-A1,1461,16,0.9214366145081722,0.8884025800829356,-0.03303403442523656,True,False,True,0.029174905161014897,,-0.0154133437016728,0.01762069072356376,62,427,,99.0
YAHOOA1__real_25,Yahoo,Yahoo-A1,1435,43,0.0394668130039696,0.0738565973275893,0.0343897843236197,True,True,False,0.029174905161014897,0.005214879162604803,-0.0154133437016728,,335,154,28.0,
YAHOOA1__real_26,Yahoo,Yahoo-A1,1435,75,0.967068535772706,0.4145338651071028,-0.5525346706656032,True,False,True,0.029174905161014897,,-0.0154133437016728,0.5371213269639304,1,488,,160.0
YAHOOA1__real_27,Yahoo,Yahoo-A1,1427,2,0.5749459707882895,0.6136933120681481,0.03874734127985868,True,True,False,0.029174905161014897,0.009572436118843786,-0.0154133437016728,,345,144,51.0,
YAHOOA1__real_28,Yahoo,Yahoo-A1,1441,82,1.0,1.0,0.0,True,False,True,0.029174905161014897,,-0.0154133437016728,0.0154133437016728,155,330,,91.0
YAHOOA1__real_29,Yahoo,Yahoo-A1,1441,7,0.8689585710252244,0.919627028445186,0.05066845741996151,True,True,False,0.029174905161014897,0.021493552258946613,-0.0154133437016728,,373,116,127.0,
YAHOOA1__real_3,Yahoo,Yahoo-A1,1461,15,0.5254470715139243,0.5969587363329335,0.07151166481900917,True,True,False,0.029174905161014897,0.04233675965799427,-0.0154133437016728,,403,86,243.0,
YAHOOA1__real_30,Yahoo,Yahoo-A1,1461,9,0.5853184006186393,0.5982678238043194,0.012949423185680153,True,True,False,0.029174905161014897,0.016225481975334743,-0.0154133437016728,,270,219,94.0,
YAHOOA1__real_31,Yahoo,Yahoo-A1,1427,24,0.996969331704056,0.9695073958172706,-0.02746193588678536,True,False,True,0.029174905161014897,,-0.0154133437016728,0.012048592185112561,68,421,,53.0
YAHOOA1__real_32,Yahoo,Yahoo-A1,1427,47,0.9182464613360772,0.9423393320730248,0.024092870736947547,True,True,False,0.029174905161014897,0.00508203442406735,-0.0154133437016728,,309,180,25.0,
YAHOOA1__real_33,Yahoo,Yahoo-A1,1439,2,0.0192301289760153,0.0642213741274475,0.0449912451514322,True,True,False,0.029174905161014897,0.015816339990417302,-0.0154133437016728,,362,127,92.0,
YAHOOA1__real_34,Yahoo,Yahoo-A1,1427,7,0.9055281776381964,0.9334993260363774,0.027971148398181045,True,True,False,0.029174905161014897,0.001203756762833852,-0.0154133437016728,,322,167,4.0,
YAHOOA1__real_36,Yahoo,Yahoo-A1,1461,5,0.822656773469661,0.7931467280764847,-0.029510045393176365,True,False,True,0.029174905161014897,,-0.0154133437016728,0.014096701691503566,66,423,,70.0
YAHOOA1__real_37,Yahoo,Yahoo-A1,1434,34,0.5611912043251709,0.9661425689743766,0.40495136464920567,True,True,False,0.029174905161014897,0.3757764594881908,-0.0154133437016728,,484,5,324.0,
YAHOOA1__real_38,Yahoo,Yahoo-A1,1427,9,0.9561076298942344,0.9748033301970837,0.018695700302849283,True,True,False,0.029174905161014897,0.010479204858165614,-0.0154133437016728,,292,197,58.0,
YAHOOA1__real_39,Yahoo,Yahoo-A1,1427,10,0.7300549749242756,0.7046885516011212,-0.02536642332315442,True,False,True,0.029174905161014897,,-0.0154133437016728,0.00995307962148162,71,418,,42.0
YAHOOA1__real_4,Yahoo,Yahoo-A1,1423,5,0.1701757290349473,0.5160614458062243,0.345885716771277,True,True,False,0.029174905161014897,0.3167108116102621,-0.0154133437016728,,482,7,322.0,
YAHOOA1__real_40,Yahoo,Yahoo-A1,1427,80,0.908365650226253,0.7408003724291998,-0.1675652777970532,True,False,True,0.029174905161014897,,-0.0154133437016728,0.15215193409538041,7,482,,154.0
YAHOOA1__real_41,Yahoo,Yahoo-A1,1435,3,0.9531076667109268,0.958777926719988,0.005670260009061123,True,True,False,0.029174905161014897,0.023504645151953774,-0.0154133437016728,,236,253,141.0,
YAHOOA1__real_42,Yahoo,Yahoo-A1,1440,44,0.9979679957782008,0.9999932864006048,0.0020252906224039746,True,True,False,0.029174905161014897,0.027149614538610922,-0.0154133437016728,,197,292,184.0,
YAHOOA1__real_43,Yahoo,Yahoo-A1,1440,32,0.9089775073588906,0.9115919612502354,0.002614453891344848,True,True,False,0.029174905161014897,0.02656045126967005,-0.0154133437016728,,205,284,175.0,
YAHOOA1__real_44,Yahoo,Yahoo-A1,1461,9,0.7360971431813869,0.7777298496711186,0.04163270648973172,True,True,False,0.029174905161014897,0.012457801328716822,-0.0154133437016728,,355,134,73.0,
YAHOOA1__real_45,Yahoo,Yahoo-A1,1440,1,0.8361596600963614,0.9147885672596234,0.07862890716326199,True,True,False,0.029174905161014897,0.04945400200224709,-0.0154133437016728,,413,76,253.0,
YAHOOA1__real_46,Yahoo,Yahoo-A1,1441,109,0.5832747702484533,0.6152343689909429,0.03195959874248955,True,True,False,0.029174905161014897,0.002784693581474651,-0.0154133437016728,,328,161,11.0,
YAHOOA1__real_47,Yahoo,Yahoo-A1,1427,10,0.4964835466563213,0.4606617734622413,-0.035821773194079976,True,False,True,0.029174905161014897,,-0.0154133437016728,0.020408429492407176,55,434,,106.0
YAHOOA1__real_48,Yahoo,Yahoo-A1,1439,24,0.4203207551256924,0.4270987280921655,0.006777972966473089,True,True,False,0.029174905161014897,0.022396932194541808,-0.0154133437016728,,242,247,133.0,
YAHOOA1__real_49,Yahoo,Yahoo-A1,1461,3,0.753709548154108,0.6442957099818366,-0.10941383817227135,True,False,True,0.029174905161014897,,-0.0154133437016728,0.09400049447059855,19,471,,143.0
YAHOOA1__real_5,Yahoo,Yahoo-A1,1439,2,0.7195254529544366,0.6938848521296368,-0.025640600824799797,True,False,True,0.029174905161014897,,-0.0154133437016728,0.010227257123126998,70,419,,45.0
YAHOOA1__real_50,Yahoo,Yahoo-A1,1439,7,0.0260423086992968,0.0296221013956325,0.003579792696335699,True,True,False,0.029174905161014897,0.025595112464679198,-0.0154133437016728,,213,276,165.0,
YAHOOA1__real_51,Yahoo,Yahoo-A1,1427,4,0.929299909618371,0.9456104757810124,0.016310566162641482,True,True,False,0.029174905161014897,0.012864338998373415,-0.0154133437016728,,281,208,77.0,
YAHOOA1__real_52,Yahoo,Yahoo-A1,1432,11,0.9538249641189502,0.9383829035323868,-0.015442060586563389,True,False,True,0.029174905161014897,,-0.0154133437016728,2.8716884890589434e-05,80,409,,1.0
YAHOOA1__real_53,Yahoo,Yahoo-A1,1461,17,0.9902861746571364,0.9838599591186236,-0.006426215538512858,True,False,True,0.029174905161014897,,-0.0154133437016728,0.008987128163159941,112,377,,40.0
YAHOOA1__real_54,Yahoo,Yahoo-A1,741,4,0.8583157341469583,0.8667596961379626,0.008443961991004278,True,True,False,0.029174905161014897,0.02073094317001062,-0.0154133437016728,,250,239,122.0,
YAHOOA1__real_55,Yahoo,Yahoo-A1,1427,5,0.8239982680694867,0.8900874261296189,0.06608915806013216,True,True,False,0.029174905161014897,0.03691425289911726,-0.0154133437016728,,396,93,236.0,
YAHOOA1__real_56,Yahoo,Yahoo-A1,1427,5,0.9780457396580472,0.9818733559871312,0.003827616329084016,True,True,False,0.029174905161014897,0.02534728883193088,-0.0154133437016728,,217,272,161.0,
YAHOOA1__real_57,Yahoo,Yahoo-A1,1441,3,0.9993676605655828,0.9995677091104817,0.00020004854489885648,True,True,False,0.029174905161014897,0.02897485661611604,-0.0154133437016728,,170,319,215.0,
YAHOOA1__real_58,Yahoo,Yahoo-A1,1435,43,0.0387850007850094,0.4867038126172168,0.4479188118322074,True,True,False,0.029174905161014897,0.4187439066711925,-0.0154133437016728,,485,4,325.0,
YAHOOA1__real_6,Yahoo,Yahoo-A1,1439,8,0.0214925460514983,0.0597747702045762,0.0382822241530779,True,True,False,0.029174905161014897,0.009107318992063004,-0.0154133437016728,,344,145,49.0,
YAHOOA1__real_60,Yahoo,Yahoo-A1,1461,16,0.9593774519557005,0.9736202684187883,0.014242816463087893,True,True,False,0.029174905161014897,0.014932088697927004,-0.0154133437016728,,273,216,89.0,
YAHOOA1__real_61,Yahoo,Yahoo-A1,1441,24,0.3020884501797853,0.5777263196373448,0.27563786945755947,True,True,False,0.029174905161014897,0.24646296429654457,-0.0154133437016728,,481,8,321.0,
