series_id,family,subgroup,contrast_id,candidate,control,formula,metric,paired_delta
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,0.09999999999999998
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.13470648150497783
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,-0.011535819135000791
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,f1_max,0.16666666666666669
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,auprc,0.13379129088843134
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_IHP,IHP1_NCTP1,IHP1_NCTP0,FULL - IHP,vus_pr,-0.009708699401019594
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,f1_max,0.0
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,auprc,0.0022958809459064367
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FULL_MINUS_NCTP,IHP1_NCTP1,IHP0_NCTP1,FULL - NCTP,vus_pr,-0.001751127928621421
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,f1_max,0.06666666666666671
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,auprc,0.001380690329359946
realAWSCloudwatch__ec2_cpu_utilization_5f5533,NAB,NAB-AWS,FACTORIAL_INTERACTION,IHP1_NCTP1,IHP0_NCTP0,FULL - IHP - NCTP + REL,vus_pr,7.599180535977634e-05
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,f1_max,0.0854700854700855
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,auprc,0.0031723093089428
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,IHP_MINUS_REL,IHP1_NCTP0,IHP0_NCTP0,IHP - REL,vus_pr,-0.025242137744844184
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,f1_max,0.0854700854700855
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,auprc,0.021287462039372804
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,NCTP_MINUS_REL,IHP0_NCTP1,IHP0_NCTP0,NCTP - REL,vus_pr,-0.033910565619004074
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,f1_max,-0.02222222222222231
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,auprc,0.036657003554825804
realAWSCloudwatch__ec2_cpu_utilization_77c1ca,NAB,NAB-AWS,FULL_MINUS_REL,IHP1_NCTP1,IHP0_NCTP0,FULL - REL,vus_pr,-0.05484289538524023
